epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,2453.9,1.06795,0.85589,1.21205,0.53353,0.42139,0.43351,0.20872,1.73671,1.63058,1.76584,0.000473303,0.000473303,0.000473303
90,2481.26,1.04265,0.82151,1.17697,0.56607,0.44995,0.46231,0.22561,1.68295,1.48841,1.72921,0.000471102,0.000471102,0.000471102
91,2508.35,1.08779,0.8664,1.20471,0.55625,0.45656,0.46218,0.22374,1.70697,1.51643,1.74751,0.000468901,0.000468901,0.000468901
92,2535.03,1.0532,0.82738,1.18328,0.55912,0.4506,0.46129,0.22349,1.70616,1.53482,1.7312,0.0004667,0.0004667,0.0004667
93,2562.17,1.07609,0.84772,1.19283,0.53987,0.465,0.46521,0.22718,1.69093,1.4816,1.71125,0.000464499,0.000464499,0.000464499
94,2589.29,1.07267,0.84384,1.19611,0.54627,0.46618,0.4623,0.22557,1.68858,1.43716,1.71241,0.000462298,0.000462298,0.000462298
95,2616.35,1.03939,0.82397,1.16796,0.53621,0.47518,0.46391,0.22503,1.68624,1.44815,1.73343,0.000460097,0.000460097,0.000460097
96,2643.38,1.05033,0.81612,1.17693,0.52906,0.47481,0.46636,0.22553,1.7049,1.41469,1.74514,0.000457895,0.000457895,0.000457895
97,2670.08,1.01823,0.82713,1.18652,0.55125,0.46613,0.46695,0.22774,1.69492,1.42646,1.74125,0.000455694,0.000455694,0.000455694
98,2696.66,1.03781,0.80485,1.18935,0.54607,0.46444,0.45919,0.22391,1.70086,1.45423,1.7324,0.000453493,0.000453493,0.000453493
99,2722.92,1.03747,0.81062,1.14999,0.55433,0.46454,0.46326,0.22516,1.69423,1.43751,1.73588,0.000451292,0.000451292,0.000451292
100,2750.02,1.0267,0.81948,1.15261,0.54146,0.4672,0.46432,0.22911,1.7004,1.50532,1.72946,0.000449091,0.000449091,0.000449091
101,2776.83,1.03515,0.80247,1.17061,0.54803,0.45944,0.45854,0.22227,1.7274,1.54275,1.75763,0.00044689,0.00044689,0.00044689
102,2804.05,1.0153,0.76405,1.1403,0.57285,0.4657,0.47063,0.2298,1.69809,1.4372,1.74969,0.000444689,0.000444689,0.000444689
103,2831.9,1.02508,0.78967,1.1614,0.59247,0.46145,0.4694,0.22661,1.71027,1.42446,1.75325,0.000442488,0.000442488,0.000442488
104,2859.88,1.01321,0.81796,1.1849,0.54917,0.4718,0.46977,0.22937,1.69753,1.44195,1.74942,0.000440287,0.000440287,0.000440287
105,2888.04,1.02702,0.80074,1.17478,0.55668,0.46231,0.46391,0.2252,1.70047,1.45691,1.74319,0.000438086,0.000438086,0.000438086
106,2915.95,1.00468,0.80504,1.1868,0.59984,0.45436,0.46903,0.22909,1.69742,1.43839,1.73388,0.000435884,0.000435884,0.000435884
107,2943.7,1.01789,0.78325,1.16867,0.55272,0.46621,0.46728,0.2278,1.69623,1.43966,1.73654,0.000433683,0.000433683,0.000433683
108,2971.42,1.00864,0.78534,1.1482,0.54006,0.46487,0.46943,0.23007,1.69661,1.444,1.7515,0.000431482,0.000431482,0.000431482
109,2998.1,1.04164,0.8398,1.17351,0.56516,0.45346,0.46149,0.2255,1.72053,1.48438,1.77357,0.000429281,0.000429281,0.000429281
110,3025.37,0.99095,0.77407,1.15276,0.53248,0.46266,0.45454,0.21829,1.74743,1.52881,1.79545,0.00042708,0.00042708,0.00042708
111,3052.45,1.00735,0.77946,1.1663,0.57261,0.46581,0.46888,0.22713,1.72525,1.46031,1.77489,0.000424879,0.000424879,0.000424879
112,3079.81,0.98602,0.77515,1.14114,0.56625,0.46982,0.47117,0.22632,1.7214,1.44586,1.76272,0.000422678,0.000422678,0.000422678
113,3107.35,0.98388,0.75585,1.136,0.57661,0.46827,0.46283,0.22519,1.71793,1.46862,1.74716,0.000420477,0.000420477,0.000420477
114,3135.16,0.99209,0.76294,1.13116,0.58978,0.45876,0.4713,0.23052,1.72622,1.4455,1.76757,0.000418276,0.000418276,0.000418276
115,3162.74,1.00597,0.78493,1.15781,0.56617,0.46067,0.4626,0.22467,1.72659,1.49942,1.7776,0.000416075,0.000416075,0.000416075
116,3190.52,1.00738,0.76113,1.16137,0.59259,0.45835,0.47162,0.2311,1.69282,1.4867,1.7439,0.000413873,0.000413873,0.000413873
117,3217.63,1.00032,0.77313,1.15317,0.5673,0.46552,0.4785,0.23559,1.70066,1.49002,1.7469,0.000411672,0.000411672,0.000411672
118,3245.66,0.96338,0.75542,1.16457,0.59612,0.45666,0.4788,0.23292,1.70752,1.48783,1.74904,0.000409471,0.000409471,0.000409471
119,3273.2,0.94605,0.72255,1.13449,0.58894,0.46688,0.47326,0.22915,1.71494,1.45471,1.75586,0.00040727,0.00040727,0.00040727
120,3300.61,1.00098,0.75829,1.14388,0.56971,0.48007,0.47965,0.23129,1.72688,1.42399,1.76849,0.000405069,0.000405069,0.000405069
121,3328.23,0.96085,0.7283,1.12307,0.57534,0.48278,0.48062,0.23005,1.69847,1.39354,1.74636,0.000402868,0.000402868,0.000402868
122,3355.89,0.95357,0.74623,1.12848,0.57012,0.4872,0.48392,0.23517,1.70046,1.39917,1.75694,0.000400667,0.000400667,0.000400667
